index,Year_UTC,Month_UTC,Day_UTC,hour,minute,second,Station_ID,bottle,Niskin_ID,Latitude,Longitude,Depth,CTDPRES,CTDSAL_PSS78,CTDTEMP_ITS90,oxygen,phosphate,nitrite,silicate,nitrate,density,TA,DIC,TA_ONLY,DIC_ONLY,Cast_number,Time_UTC,TA_flag,DIC_flag,TA_ONLY_flag,DIC_ONLY_flag
255,2022.0,3.0,6.0,21,31,32,17,40469,16.0,-31.42744,-102.99868,401.0,404.2,34.2876,7.6859,214.72,1.631823535822032,0.0107485382599056,5.869679029750268,22.80448962815245,1.0233949709266428,2266.661428599537,2156.50356502395,,,2,21:31:32,2,2,2,2
257,2022.0,3.0,6.0,21,36,38,17,40471,18.0,-31.4275,-102.99876,201.4,202.9,34.614,15.1245,240.58,0.3135860555080736,0.4024842830820135,,0.912427962132526,1.0236424559118684,2291.900749722756,2068.3755702023595,,,2,21:36:38,2,2,2,2
258,2022.0,3.0,6.0,21,39,05,17,40472,19.0,-31.42752,-102.99876,102.1,102.8,34.8247,16.5846,248.14,0.192419973953043,0.0136745159154446,,0.0498143079776913,1.0238022381609648,2294.114093254846,2056.249924504676,,,2,21:39:05,2,2,2,2
263,2022.0,3.0,6.0,21,43,52,17,40477,24.0,-31.42754,-102.99878,7.8,7.8,35.2726,22.8993,220.54,0.1503697785715561,0.0107406984693968,0.060538482282055,,1.024141961655655,2321.170866842139,2061.994563830729,,,2,21:43:52,2,2,2,2
265,2022.0,3.0,7.0,14,41,33,18,40479,2.0,-31.43038,-106.0002,3396.2,3447.8,34.695,1.8032,167.17,2.3971775918909946,0.0078147598757652,115.72877900020778,34.111426857715365,1.0237038792208055,2394.0954242638054,2297.154425716567,,,2,14:41:33,2,2,2,2
282,2022.0,3.0,7.0,15,46,57,18,40496,19.0,-31.43034,-106.00016,351.2,354.0,34.3013,9.16,220.8,1.3572334652401254,0.0078170393966313,3.038874065440454,18.50195512190193,1.0234053577173285,2267.520223563185,2138.8237924442856,,,2,15:46:57,2,2,2,2
285,2022.0,3.0,7.0,15,55,14,18,40499,22.0,-31.43032,-106.00012,62.8,63.2,35.2133,19.0136,248.75,0.1591646136763738,0.0039058800902177,0.1113175825712062,,1.0240969788135479,2313.2002527594723,2061.081508015463,,,2,15:55:14,2,2,2,2
292,2022.0,3.0,8.0,08,44,24,19,40506,5.0,-31.42988,-108.00006,2995.4,3038.0,34.6893,1.7871,165.33,2.43235428166899,,117.35767511864688,34.28447318222351,1.0236995567485572,2388.310308298157,2299.7619582684074,,,1,08:44:24,2,2,2,2
299,2022.0,3.0,8.0,09,04,24,19,40513,12.0,-31.42998,-107.9999,2498.6,2531.2,34.6778,1.7952,162.0,2.4567964384584635,,117.59116694724231,34.53972503817668,1.0236908360132828,2384.5648765006044,2299.5830219800214,,,1,09:04:24,2,2,2,2
310,2022.0,3.0,8.0,09,41,01,19,40524,23.0,-31.4299,-108.0,1100.4,1111.1,34.3901,3.7383,158.5,2.4954256614061374,,49.22652140679876,35.41374436087136,1.0234726842397126,2305.9219630748494,2236.8495854782896,,,1,09:41:01,2,2,2,2
311,2022.0,3.0,8.0,09,51,35,19,40525,24.0,-31.42984,-108.00004,700.7,706.8,34.2783,5.7308,234.95,1.817492627669548,,11.175625367019686,26.4249748011116,1.023387920084692,2274.8491757383395,2161.2474561300546,,,1,09:51:35,2,2,2,2
316,2022.0,3.0,8.0,13,07,32,19,40530,5.0,-31.42996,-107.9999,600.5,605.6,34.2928,6.0786,242.07,1.7148738161712624,,8.961314967582135,24.16359806273456,1.0233989133488117,2288.150330011043,2310.9626678311342,,,4,13:07:32,2,2,2,2
320,2022.0,3.0,8.0,13,13,12,19,40534,9.0,-31.43,-107.99986,349.1,351.8,34.3458,8.9478,219.95,1.3415551593215034,,3.2351705262297874,18.55215426805345,1.0234390963800548,2296.9003569473502,2265.300263167897,,,4,13:13:12,2,2,2,2
326,2022.0,3.0,8.0,13,17,06,19,40540,15.0,-31.43,-107.99988,201.7,203.2,34.7713,14.885,220.46,0.4708126712398576,0.030280483005053,0.2520117617839902,4.178706654697327,1.0237617410140665,2301.381916341672,2087.1230773004904,,,4,13:17:06,2,2,2,2
328,2022.0,3.0,8.0,13,20,01,19,40542,17.0,-31.43004,-107.9999,102.9,103.6,35.1878,18.2561,243.81,0.1601441084652825,,,,1.024077635897254,2316.065124686196,2056.2100334410284,,,4,13:20:01,2,2,2,2
335,2022.0,3.0,8.0,13,24,52,19,40549,24.0,-31.43,-107.99994,7.3,7.4,35.5309,23.8795,216.19,0.1415548499004644,,,,1.0243379163762882,2346.870437153144,2141.8789661234614,,,4,13:24:52,2,2,2,2
338,2022.0,2.0,23.0,22,20,35,02,40027,3.0,-33.09024,-71.8253,156.4,157.6,34.6789,11.1181,6.74,2.815300821512637,0.0410279786618774,26.94170598796618,24.42239272679994,1.0236916701681371,2283.39768313919,2287.559053018068,,,2,22:20:35,2,2,2,2
348,2022.0,2.0,23.0,22,35,12,02,40037,13.0,-33.09018,-71.82524,6.8,6.9,34.271,14.4968,277.68,1.113953118663139,0.424083906578774,2.2621065523729533,12.032647985278857,1.0233823855784163,2266.4637296287383,2131.5191403508584,,,2,22:35:12,2,2,2,2
351,2022.0,3.0,8.0,23,32,40,20,40551,2.0,-31.43018,-110.00024,2644.2,2679.6,34.6762,1.8196,162.55,2.4685216534087804,,117.4701758557048,35.0174498257794,1.0236896226980496,2389.1389007962484,2297.6219735309605,,,2,23:32:40,2,2,2,2
367,2022.0,3.0,9.0,00,22,43,20,40567,18.0,-31.43014,-110.0003,349.5,352.2,34.3603,9.2387,223.29,1.2760759051048751,,2.142752266382076,17.399969156284545,1.0234500900576644,2271.136828384489,2135.099220230434,,,2,00:22:43,2,2,2,2
370,2022.0,3.0,9.0,00,32,14,20,40570,21.0,-31.43014,-110.00032,61.9,62.3,35.5611,21.3222,237.93,0.1337419355837853,,,0.0468584883797204,1.0243608289501207,2327.854111383549,2058.57017929938,,,2,00:32:14,2,2,2,2
378,2022.0,3.0,9.0,20,51,42,22,40602,5.0,-31.43028,-111.98982,599.8,604.9,34.2977,6.1634,241.02,1.7119361935312705,,8.086748822868033,24.817212011020096,1.0234026283339968,2273.8118942550404,2157.4738389836307,,2165.814253973779,2,20:51:42,2,2,2,2
381,2022.0,3.0,9.0,20,57,09,22,40605,8.0,-31.4303,-111.9898,350.4,353.2,34.3662,9.1135,221.82,1.319061977261902,,2.5453010746424103,18.06040117608073,1.0234545633726166,2270.2231806644354,2137.4775904138933,,,2,20:57:09,2,2,2,2
387,2022.0,3.0,9.0,21,01,32,22,40611,14.0,-31.43028,-111.98972,200.9,202.4,34.6727,14.1944,224.01,0.5108983664490194,0.0126991945771266,,4.949755301715451,1.0236869685747727,2285.651735522297,2091.7664808269287,,,2,21:01:32,2,2,2,2
389,2022.0,3.0,9.0,21,04,49,22,40613,16.0,-31.43026,-111.98975,101.6,102.3,35.0832,17.6733,245.11,0.1562502601731159,,,0.0205078466477214,1.0239982949323068,2300.627668804502,2057.701089175679,,,2,21:04:49,2,2,2,2
