bottle,salinity,total_phosphate,total_silicate,total_ammonium,alkalinity,dic_corrected
SO289-40859,35.4938,0.0595522973863066,0.1796331593291873,0.0,2321.705639009865,2046.1881190728147
SO289-03-04-22-21-00,35.0,0.0,0.0,0.0,2308.1114776203062,1989.859491433409
SO289-40118,34.4036,0.4289275291544776,0.1016138110069833,0.0,2282.135274615081,2036.2193654201224
SO289-41046,35.5458,0.0361204941107799,0.1405770581608732,0.0,2325.4668810626517,2033.7051520703972
SO289-40679,34.921,0.3789524079549467,0.0,0.0,2296.8732593531304,2085.9435415163603
SO289-40950,34.4799,2.4034215993033974,69.43348220296498,0.0,2328.673571168684,2256.1729678882357
SO289-41189,35.6483,0.0654024158854961,0.144471008224678,0.0,2328.7559950524874,2044.6639325716092
SO289-40166,34.4725,0.468962882868673,0.0,0.0,2290.078980061656,2038.3661979588692
SO289-40668,34.3146,2.244445322260918,29.013632979492137,0.0,2292.4997076180334,2204.9096995056766
SO289-40741,34.6912,2.4196518376724083,122.90600507230712,0.0,2397.514531407564,2300.512755842601
SO289-40710,34.6404,0.6427899977139072,0.0,0.0,2279.506811308481,2100.9402734178616
SO289-40179,34.6695,2.5447292532442023,121.52962646357189,0.0,2393.74919972946,2313.843125953633
SO289-40708,34.3361,1.5213520707290349,4.307077667163511,0.0,2240.326498538487,2168.104371387068
SO289-41307,35.6366,0.2215892098321524,0.4646540259035442,0.0,2297.22278726153,2090.875769333981
SO289-40828,34.4159,1.3854526066146535,4.184692182038479,0.0,2273.0393571277423,2142.729397395556
SO289-41301,34.3926,1.7714167365615203,15.195296793714707,0.0,2279.4167355617087,2174.483005196038
SO289-40960,35.332,0.4618297145931035,0.967596717043902,0.0,2315.644972119612,2102.2854950351784
SO289-40952,34.3165,1.8789996863657896,16.353062273020207,0.0,2276.5676444780784,2170.9425757943313
SO289-40965,35.4578,0.3456077934647845,0.6599742044694755,0.0,2319.0449638097443,2095.451942224293
SO289-40837,34.7097,2.318027906281007,116.27259236604644,0.0,2384.1153984741086,2284.616971949643
SO289-40041,34.3906,2.5804294168539665,40.00007568973288,0.0,2296.690690053275,2244.7857707816584
SO289-40688,35.7428,0.1132261084357112,0.0,0.0,2357.046854712266,2055.7807940211574
SO289-40058,34.5965,2.7128964653368715,105.60367123026664,0.0,2375.7544311811826,2311.9995455316093
SO289-41125,34.4106,1.547648480499987,7.182300492522352,0.0,2275.9215140930883,2151.803150450699
SO289-40703,34.493,2.496212436553665,68.49978182547441,0.0,2331.0378695389427,2256.1087357602823
SO289-41168,35.136,0.0585915560158815,0.1845634014500268,0.0,2300.3988997805327,1986.84494475236
SO289-41089,35.2403,0.6522689302611983,1.6619187414738912,0.0,2310.190505874297,2124.264819517469
SO289-40941,34.6745,2.497830556618914,128.27048594410363,0.0,2397.3124821061674,2313.6231655560186
SO289-41077,34.6787,2.536897056445542,132.5057378596672,0.0,2419.8105987984254,2329.586334146321
SO289-40641,35.7157,0.1112761675823858,0.0,0.0,2348.2077622956253,2059.2326101806343
SO289-41110,34.6624,2.551580717302067,126.1782063288816,0.0,2404.095125648244,2324.7835258488876
SO289-40056,34.2842,0.2003141721231163,0.0,0.0,2285.0283075599,2026.0449362836707
SO289-41094,35.5663,0.0585728848854491,0.1347176352365329,0.0,2306.4089475682185,2047.9329736942796
